subject	condition	isRight	leftIsRight	rightIsRight	isPartRight	leftIsPartRight	rightIsPartRight	isNormRight	isNormLeftRight	isNormRightRight	problem	leftResp	rightResp	exampleSortMoves	sortMoves	sortTime	sortAcc	testAcc	testTime	aveUniqueCWordNBPercentCor	aveCWordLengthNBCor	origAcc
p104932	active	1	1	1	1	1	1	1	1	1	pbp16	the square was proceeded by a circle	the circle was proceeded by a square	12	14	45904	0.857142857	1	28706	0.355523072	3.214285714	0.47826087
p109296	active	0	0	0	0	0	0	0	0	0	pbp11b	seemed more stable and orderly	seemed more chaotic	13	18	40731	0.666666667	0.75	19695	0.327441706	2.820512821	0.380952381
p111472	passive	1	1	1	1	1	1	1	1	1	pbp28	These will roll.	These will not roll.	12	15	59469	0.8	1	22355	0.55625	3.75	0.52173913
p116140	passive	1	1	1	1	1	1	1	0	1	pbp19	Object will fall	Object will stay on ground	14	19	63519	0.631578947	0.875	38232	0.490123457	3.480769231	0.15
p118034	active	1	1	1	1	1	1	1	1	1	pbp11b	The objects were either touching each other or very close to each other	The objects were relatively far away from each other	13	14	108702	0.857142857	0.875	52050	0.327441706	2.820512821	0.380952381
p118896	passive	1	1	1	1	1	1	1	1	1	pbp04	All shapes are squares	All shapes are circles	13	14	39199	0.857142857	0.875	32589	0.34939759	2.075	0.625
p12271	active	0	0	0	0	0	0	0	0	0	pbp13	they are all stacked on one thing at the bottom	there are 2 things holding up the structure	12	14	47631	0.857142857	1	29245	0.508420209	3.46	0.115384615
p131293	active	1	1	1	1	1	1	1	1	1	pbp04	all were squares	all were circles	18	15	44298	0.8	0.875	33562	0.34939759	2.075	0.625
p152687	active	0	0	1	1	1	1	0	0	0	pbp24	Even	Off center	16	18	147241	0.666666667	0.25	75389	0.307647059	4.455882353	0.173913043
p158982	passive	0	0	0	0	0	0	0	0	0	pbp24	I saw some of the shapes were stacked	I saw more floating shapes	14	14	33805	0.857142857	0.75	24830	0.307647059	4.455882353	0.173913043
p163824	passive	1	1	1	1	1	1	1	1	1	pbp02	One object	Two objects	13	17	58818	0.705882353	1	27053	0.322265492	2.630434783	0.875
p170689	active	1	1	1	1	1	1	1	1	1	pbp02	there is only one object in the box	there are two objects in the box	14	12	50898	1	1	19720	0.322265492	2.630434783	0.875
p172456	passive	0	0	0	0	0	0	0	0	0	pbp09	fall left	fall right	19	16	38300	0.75	0.25	23586	0.285384331	4.25	0.285714286
p17296	active	1	1	1	1	1	1	1	1	1	pbp02	One object	Two objects	12	13	34231	0.923076923	1	29493	0.322265492	2.630434783	0.875
p180758	active	1	1	1	1	1	1	1	1	1	pbp16	The ball stays to the left	The ball stays to the right	15	16	126785	0.75	1	58647	0.355523072	3.214285714	0.47826087
p182002	active	1	1	1	1	1	1	1	1	1	pbp02	one object per frame	two objects per frame	12	14	39705	0.857142857	1	26275	0.322265492	2.630434783	0.875
p182274	passive	1	1	1	1	1	1	1	1	1	pbp04	The images are of square or rectangles	The images are of circles	12	14	57341	0.857142857	1	34067	0.34939759	2.075	0.625
p187072	passive	1	1	1	1	1	1	1	1	1	pbp16	Circle is left of the square	circle is right of the square	13	13	49521	0.923076923	1	35883	0.355523072	3.214285714	0.47826087
p188339	active	0	0	0	0	0	0	0	0	0	pbp02	orientation	position on the square	21	18	30998	0.666666667	0.5	29816	0.322265492	2.630434783	0.875
p189155	passive	0	0	0	0	0	0	0	0	0	pbp13	single base piece to support the blocks	a base of 2 parts to support the blocks	14	14	68571	0.857142857	1	36272	0.508420209	3.46	0.115384615
p190392	active	1	1	1	1	1	1	1	1	1	pbp02	One object in the image	Two objects in the image	13	13	35025	0.923076923	1	34695	0.322265492	2.630434783	0.875
p190728	active	1	1	1	1	1	1	1	1	1	pbp16	Circle is on the left	Square is on the left	15	13	52218	0.923076923	1	32257	0.355523072	3.214285714	0.47826087
p194422	passive	1	1	1	1	1	1	1	1	1	pbp11b	Closer together	Further apart	16	14	100868	0.857142857	1	58810	0.327441706	2.820512821	0.380952381
p195444	passive	0	0	0	1	1	1	0	0	0	pbp26	Leaning towards the right side	Leaning towards the left side	18	16	81570	0.75	0.5	36056	0.298013041	2.965116279	0.35
p197279	passive	0	0	0	0	0	0	0	0	0	pbp28	all wheel shaped even if some had spiky ends.	if the point is to the right then it falls right if its a sharp point and the benches are the same except one has wheels so definitely on the same side	14	17	63270	0.705882353	0.625	54944	0.55625	3.75	0.52173913
p203112	active	0	0	0	0	0	0	0	0	0	pbp19	Will have a sharp drop	Will not have a sharp drop	18	16	78750	0.75	0.625	87960	0.490123457	3.480769231	0.15
p208070	passive	1	1	1	1	1	1	1	1	1	pbp16	circle is on the left side	square is on the left side	14	13	46855	0.923076923	1	25476	0.355523072	3.214285714	0.47826087
p210593	active	0	0	0	0	0	0	0	0	0	pbp28	bigger	smaller	16	15	69159	0.8	0.75	38526	0.55625	3.75	0.52173913
p211566	passive	1	1	1	1	1	1	1	1	1	pbp28	Moves	Doestnt move	19	15	38716	0.8	0.5	26365	0.55625	3.75	0.52173913
p212900	passive	1	1	1	1	1	1	1	1	1	pbp16	A square follows a circle always	A circle follows a square always	12	13	98522	0.923076923	1	46801	0.355523072	3.214285714	0.47826087
p219771	passive	1	1	1	1	1	1	1	1	1	pbp16	The circle is always to the left of the square.	The square is always to the left f the circle.	12	13	42279	0.923076923	1	24972	0.355523072	3.214285714	0.47826087
p228106	active	0	0	0	0	0	0	0	0	0	pbp26	more rectangles	more triangles 	25	21	40867	0.571428571	0.75	30117	0.298013041	2.965116279	0.35
p230218	active	1	1	1	1	1	1	0	0	0	pbp13	"Solid block, no gaps between blocks"	Space in between blocks	13	14	43744	0.857142857	0.75	22878	0.508420209	3.46	0.115384615
p248960	passive	0	0	0	0	0	0	0	0	0	pbp24			13	19	89998	0.631578947	0.5	46876	0.307647059	4.455882353	0.173913043
p255936	active	1	1	1	1	1	1	1	1	1	pbp26	ball is going to roll to the right	ball is going to roll to the left	13	12	61131	1	1	46761	0.298013041	2.965116279	0.35
p257719	active	1	1	1	1	1	1	1	1	1	pbp04	All square/rectangular/angled shapes	All circular shapes	15	16	71775	0.75	1	30923	0.34939759	2.075	0.625
p257975	active	1	1	0	1	1	0	0	0	0	pbp19	falling	stopped	19	19	41604	0.631578947	0.375	34476	0.490123457	3.480769231	0.15
p263012	passive	0	0	0	0	0	0	0	0	0	pbp19	they will clearly go that way	more apt to go that way	13	16	42237	0.75	0.875	30356	0.490123457	3.480769231	0.15
p26728	active	0	0	0	0	0	0	0	0	0	pbp13	balanced center of gravity on foundation	imbalanced center of gravity on foundation	12	15	103089	0.8	0.625	33982	0.508420209	3.46	0.115384615
p27967	active	0	0	0	0	0	0	0	0	0	pbp19	i dont know	i have no idea	16	18	74857	0.666666667	0.375	52715	0.490123457	3.480769231	0.15
p285705	passive	0	0	0	0	0	0	0	0	0	pbp24	the size	the size	17	16	27685	0.75	0.625	26370	0.307647059	4.455882353	0.173913043
p286272	active	0	0	0	0	0	0	0	0	0	pbp28	the way the lines went	shape of the images	19	18	40152	0.666666667	0.5	31531	0.55625	3.75	0.52173913
p28686	passive	0	0	0	0	0	0	0	0	0	pbp18	I honestly do not know.	"I tried hard to figure it out, but have no clue!"	13	15	114062	0.8	0.5	68998	0.304831933	3.2375	0.208333333
p287268	passive	1	1	1	1	1	1	1	1	1	pbp11b	images close to each other	images far apart	14	16	44919	0.75	0.875	34063	0.327441706	2.820512821	0.380952381
p289846	active	1	1	1	1	1	1	1	1	1	pbp16	ball on left of box	ball on right of box	12	13	39620	0.923076923	1	51545	0.355523072	3.214285714	0.47826087
