ResponseID	StartDate	EndDate	ExLeft	ExRight	exampleIsRight	exclude	Age	Sex	Lang	Lang_TEXT	Education	DO.BR.FL_84	trial	LeftResponse	RightResponse	isRight	isPartRight	leftIsRight	rightIsRight	time1	time2	time3	time4	trialNum	correct	conf	aveCWordLengthNBCor	aveCWordLengthCor	aveWordLengthCor	aveUniqueWordPercent	aveUniqueCWordPercent	aveUniqueCWordNBPercent	aveUniqueWordPercentCor	aveUniqueCWordPercentCor	aveUniqueCWordNBPercentCor
R_237clnlCytdYiap	6/25/15 12:24	6/25/15 12:31	objects will fall to the left	objects will fall to the right	1	1	40	1	1		5	pbp04|pbp16|pbp02	pbp02	each scene has one object	each scene has two objects	1	1	1	1	0	0	37.879	0	3	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_1i8Rs0XVVtLtlBr	6/25/15 12:36	6/25/15 12:39	Right motion	Flipping	0	0	24	1	1		5	pbp18|pbp28|pbp02	pbp02	Movement right	Movement left	0	0	0	0	0	0	5.404	0	3	1	2	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_2rDwQ3zGxBIMX4Q	6/25/15 13:41	6/25/15 13:45	all falling to left	all falling to right	1	1	24	1	1		5	pbp02|pbp28|pbp19	pbp02	all have one shape	all have 2 shapes	1	1	1	1	0	0	10.785	0	1	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_6QXUTJ0LdWPuNMt	6/25/15 13:43	6/25/15 13:48	Objects fall to the left	Object fall to the right	1	1	19	2	1		3	pbp18|pbp02|pbp16	pbp02	Only have one shape	Have two shapes	1	1	1	1	0	0	23.952	0	2	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_2Xoqt9pCtRtZ1Af	6/25/15 13:49	6/25/15 13:52	These will fall to the left	These will fall to the right	1	1	25	1	1		3	pbp24|pbp19|pbp02	pbp02	These only have 1 object	These only have 2 objects	1	1	1	1	0	0	19.648	0	3	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_1DZo5dTmiYtx7ua	6/25/15 13:53	6/25/15 14:02	Objects will fall to the left.	Objects will fall to the right.	1	1	29	1	1		5	pbp02|pbp26|pbp13	pbp02	There is 1 object in each scene.	There are 2 objects in each scene.	1	1	1	1	0	0	39.857	0	1	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_1GKcavmXkDgvAmq	6/25/15 14:05	6/25/15 14:08	objects will fall to the left	objects will fall to the right	1	1	23	2	1		5	pbp28|pbp26|pbp02	pbp02	single object depicted	two objects depicted 	1	1	1	1	0	0	9.608	0	3	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_3G1lPYscUhV3lEV	6/25/15 14:16	6/25/15 14:27	They will fall to the left	They will fall to the right	1	1	29	2	1		3	pbp11b|pbp13|pbp02	pbp02	no idea	no idea	0	0	0	0	0	0	90.006	0	3	0	1	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_dhQk3kU4H5jFSyB	6/25/15 14:58	6/25/15 15:05	items will fall left 	items will fall right	1	1	54	1	1		5	pbp13|pbp24|pbp02	pbp02	they have one item 	they have two items 	1	1	1	1	12.202	19.416	21.346	5	3	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_29tYhAZFiszoAUP	6/25/15 15:16	6/25/15 15:25	In scenes 1-6 all objects will fall to the left.	In scenes 7-12 all objects will fall to the right.	1	1	35	2	1		5	pbp02|pbp26|pbp28	pbp02	All objects were independent of each other.	"All objects had additions to them, the objects on the right \doubled up\\ with the objects on the left.\"""""	0	0	0	1	0	0	90.018	0	1	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_11dT9zbrQU09A47	6/25/15 15:25	6/25/15 15:28	fall left	fall right	1	1	25	1	1		5	pbp16|pbp13|pbp02	pbp02	one shape	two shapes	1	1	1	1	0	0	7.846	0	3	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_3KMAIalgfAZQ010	6/25/15 16:11	6/25/15 16:15	All objects will fall to the left	All object will fall to the right	1	1	30	1	1		6	pbp02|pbp04|pbp24	pbp02	There is only one object in the scene	There are two objects in every scene.	1	1	1	1	0	0	15.22	0	1	1	2	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_1H5Mg5TIy57j3TH	6/25/15 16:17	6/25/15 16:26	will fall to the left	will fall to the right	1	1	65	1	1		5	pbp18|pbp09|pbp02	pbp02	one item per scene	two items per scene	1	1	1	1	22.414	43.329	44.966	2	3	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_28BRDwNZxQn4Ox5	6/25/15 16:33	6/25/15 16:45	The object will fall to the left	The objects will fall to the right	1	1	33	1	1		5	pbp02|pbp11b|pbp09	pbp02	All the objects stand alone in their respective pictures.	Their are two objects in every picture	1	1	1	1	0	0	90.011	0	1	1	2	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_3HYLpE1GZUceYFn	6/25/15 17:34	6/25/15 17:37	direction of object 	angle of objects 	0	0	19	1	1		3	pbp16|pbp02|pbp26	pbp02	path that they follow	path that they follow 	0	0	0	0	0	0	5.38	0	2	0	1	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_2uDvjfITrU7dPtN	6/26/15 11:14	6/26/15 11:17	Item will fall to the left	Item will fall to the right	1	1	33	1	1		2	pbp02|pbp19|pbp16	pbp02	1 object	2 objects	1	1	1	1	0	0	20.149	0	1	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_2tbso1DOilObDNN	6/26/15 11:14	6/26/15 11:19	The objects fall to the left	The objects fall to the right.	1	1	22	2	1		5	pbp19|pbp18|pbp02	pbp02	One objects per frame	two objects per frame	1	1	1	1	0	0	8.642	0	3	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_31AjuXXOuBJrjNM	6/26/15 11:14	6/26/15 11:22	Objects will fall to the left.	Objects will fall to the right.	1	1	31	1	1		5	pbp02|pbp28|pbp26	pbp02	Their is only one object in each scene.	Their are two objects in each scene.	1	1	1	1	21.779	21.779	26.065	1	1	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_6utHr5jIqNQhxUl	6/26/15 11:15	6/26/15 11:24	all objects will fall to the left	all objects will fall to the right	1	1	29	2	1		5	pbp13|pbp02|pbp09	pbp02	all objects  are alone	each scene has more than one object	1	1	1	1	21.765	21.765	22.946	1	2	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_2aIvSRAJOwLWrFj	6/26/15 11:21	6/26/15 11:24	Object falls left.	Object falls right.	1	1	22	1	1		4	pbp04|pbp16|pbp02	pbp02	Only one shape per image.	Two shapes per image.	1	1	1	1	0	0	11.413	0	3	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_emI4uA89O5Gvl3H	6/26/15 11:22	6/26/15 11:28	The objects will fall to the left	The objects will fall to the right	1	1	42	1	1		5	pbp28|pbp04|pbp02	pbp02	The scenes contain single objects	The scenes contain pairs of objects	1	1	1	1	0	0	29.289	0	3	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_8qTqbt7iTAgJj4B	6/26/15 11:32	6/26/15 11:34	will fall to the left	will fall to the right	1	1	24	1	1		6	pbp04|pbp28|pbp02	pbp02	1 of each shape	2 of each shape	1	1	1	1	0	0	10.385	0	3	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_265zWigqrfKgJhV	6/26/15 11:49	6/26/15 11:52	fall left	fall right	1	1	23	1	1		6	pbp18|pbp02|pbp24	pbp02	one shape	two shapes	1	1	1	1	0	0	11.32	0	2	1	3	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_2Y9gMus73JurkOm	6/26/15 11:54	6/26/15 11:58	falling to the left	falling to the right	1	1	51	1	1		6	pbp28|pbp02|pbp18	pbp02	singular objects	paired objects	1	1	1	1	6.696	6.696	9.58	1	2	1	4	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_2v0m85dOS6h8E0a	6/26/15 11:52	6/26/15 11:59	Objects fall to left	Objects fall to right	1	1	24	1	1		5	pbp02|pbp13|pbp18	pbp02	Shape gets bigger	Shapes get closer	0	0	0	0	61.529	62.172	90.003	2	1	0	2	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_3lRq1V5wSy74Lum	6/26/15 11:56	6/26/15 12:03	all objects are falling to the left.	all objects are falling to the right	1	1	30	2	1		5	pbp26|pbp02|pbp18	pbp02	one object in these scenes	the objects are doubled	1	1	1	1	0	0	17.758	0	2	0	2	2.630434783	2.923913043	4.119565217	0.308747354	0.304787705	0.322265492	0.308747354	0.304787705	0.322265492
R_237clnlCytdYiap	6/25/15 12:24	6/25/15 12:31	objects will fall to the left	objects will fall to the right	1	1	40	1	1		5	pbp04|pbp16|pbp02	pbp04	the objects will stay in place or only move slightly	the objects will roll away 	0	0	0	0	0	0	68.138	0	1	1	3	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
R_vjDR0jafmKI1iVP	6/25/15 13:04	6/25/15 13:11	The objects will fall to the left	The objects will fall to the right	1	1	28	1	1		4	pbp11b|pbp04|pbp28	pbp04	The objects are all squares	The objects are all cirlcles	1	1	1	1	3.87	3.87	34.889	1	2	1	4	2.075	2.725	3.275	0.353206462	0.323741007	0.399082569	0.312820513	0.275229358	0.34939759
