"rt"	"trial_type"	"trial_index"	"trial_index_global"	"time_elapsed"	"subject"	"condition"	"categoryALoc"	"workerId"	"trialNum"	"firstTrial"	"moveNum"	"src"	"category"	"categoryLoc"	"imageName"	"init_locationsX"	"init_locationsY"	"movesX"	"movesY"	"dropTime"	"dropCorrect"	"dropPosition"	"final_locationsX"	"final_locationsY"	"blockNum"	"responses"	"strategy"	"shapes"	"totalTimeMinutes"	"totalTimeSeconds"	"totalTrialNum"	"FourBlock"	"conditionC"	"imagePaired"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	1	1	1	"lib/images/tl_50_120.jpg"	"T"	"right"	"tl_50_120.jpg"	515	298	108	291	3966	0	"left"	881	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	1	1	0.5	"tl_50_120.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	1	0	2	"lib/images/tl_50_120.jpg"	"T"	"right"	"tl_50_120.jpg"	515	298	881	348	9183	1	"right"	881	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	1	1	0.5	"tl_50_120.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	2	1	3	"lib/images/tl_40_150.jpg"	"L"	"left"	"tl_40_150.jpg"	515	298	149	348	12101	1	"left"	149	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	2	1	0.5	"tl_40_150.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	3	1	4	"lib/images/tl_40_90.jpg"	"T"	"right"	"tl_40_90.jpg"	515	298	881	348	14675	1	"right"	881	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	3	1	0.5	"tl_40_90.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	4	1	5	"lib/images/tl_0_30.jpg"	"L"	"left"	"tl_0_30.jpg"	515	298	149	348	17286	1	"left"	149	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	4	1	0.5	"tl_0_30.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	5	1	6	"lib/images/tl_50_0.jpg"	"T"	"right"	"tl_50_0.jpg"	515	298	168	326	19695	0	"left"	881	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	5	1	0.5	"tl_50_0.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	5	0	7	"lib/images/tl_50_0.jpg"	"T"	"right"	"tl_50_0.jpg"	515	298	881	348	24806	1	"right"	881	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	5	1	0.5	"tl_50_0.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	6	1	8	"lib/images/tl_40_60.jpg"	"T"	"right"	"tl_40_60.jpg"	515	298	192	309	27429	0	"left"	881	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	6	1	0.5	"tl_40_60.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	6	0	9	"lib/images/tl_40_60.jpg"	"T"	"right"	"tl_40_60.jpg"	515	298	881	348	32465	1	"right"	881	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	6	1	0.5	"tl_40_60.jpg"
144121	"test-sort"	0	1	161886	"p415544"	"high"	"left"	"A1F1A2FXG1I6ZY"	7	1	10	"lib/images/tl_10_90.jpg"	"L"	"left"	"tl_10_90.jpg"	515	298	816	319	35346	0	"right"	149	348	1	""	"I tried to figure out cues about horizontal line placement to figure out what went where."	"I tried putting the ones with the horizontal line higher on the right."	5.72256666666667	343.354	7	1	0.5	"tl_10_90.jpg"
